TradeID,Portfolio,Trader,Symbol,Quantity,Price,Side,TradeDate,SettlementDate,Exchange,Currency,AssetClass,Sector,Broker,Counterparty,Commission
1,Income,John,JPM,1000,241.13,SELL,2026-07-24,2026-07-26,NYSE,USD,Equity,Financial,UBS,Neal-Reese,120.56
2,ETF,Gary,PFE,1000,243.89,SELL,2026-07-05,2026-07-07,NYSE,USD,Equity,Healthcare,Citi,Tran-Manning,121.95
3,Balanced,Danielle,PFE,500,318.68,BUY,2026-07-19,2026-07-21,NYSE,USD,Equity,Healthcare,UBS,Dixon-Sutton,79.67
4,Balanced,Amber,CVX,200,275.27,BUY,2026-07-26,2026-07-28,NYSE,USD,Equity,Energy,Citi,"Campbell, Brown and Forbes",27.53
5,Balanced,Jennifer,GS,1000,30.95,BUY,2026-07-15,2026-07-17,NYSE,USD,Equity,Financial,Goldman Sachs,"Campbell, Donovan and Phillips",15.47
6,Retirement,Desiree,WFC,100,88.31,BUY,2026-07-15,2026-07-17,NYSE,USD,Equity,Financial,Bank of America,"Vaughn, Smith and Beltran",4.42
7,Growth,Mark,NVDA,100,207.1,BUY,2026-07-22,2026-07-24,NASDAQ,USD,Equity,Technology,Morgan Stanley,Cooper-Oconnor,10.36
8,Balanced,Lauren,JNJ,100,470.47,SELL,2026-07-25,2026-07-27,NYSE,USD,Equity,Healthcare,Citi,Fields-Sharp,23.52
9,Growth,Matthew,AMZN,500,196.37,SELL,2026-07-15,2026-07-17,NASDAQ,USD,Equity,Consumer,JPMorgan,Jones LLC,49.09
10,ETF,Andrea,META,100,481.85,BUY,2026-07-31,2026-08-02,NASDAQ,USD,Equity,Technology,Goldman Sachs,"Hayes, Blake and Robertson",24.09
11,Growth,Isaac,XOM,200,-50.0,BUY,2026-07-26,2026-07-28,NYSE,USD,Equity,Energy,Bank of America,Shepherd LLC,31.5
12,Retirement,Donald,JNJ,100,88.13,BUY,2026-07-26,2026-07-28,NYSE,USD,Equity,Healthcare,Goldman Sachs,"Nelson, Wade and Sims",4.41
13,ETF,Daniel,META,500,142.7,BUY,2026-07-23,2026-07-25,NASDAQ,USD,Equity,Technology,JPMorgan,Reyes-Young,35.68
14,Balanced,Brian,PFE,1000,37.07,SELL,2026-07-30,2026-08-01,NYSE,USD,Equity,Healthcare,Citi,"Ward, Hopkins and White",18.54
