Symbol,Sector,Exchange,Currency,AssetClass
AAPL,Technology,NASDAQ,USD,Equity
MSFT,Technology,NASDAQ,USD,Equity
NVDA,Technology,NASDAQ,USD,Equity
GOOGL,Technology,NASDAQ,USD,Equity
META,Technology,NASDAQ,USD,Equity
AMZN,Consumer,NASDAQ,USD,Equity
TSLA,Auto,NASDAQ,USD,Equity
JPM,Financial,NYSE,USD,Equity
GS,Financial,NYSE,USD,Equity
BAC,Financial,NYSE,USD,Equity
WFC,Financial,NYSE,USD,Equity
XOM,Energy,NYSE,USD,Equity
CVX,Energy,NYSE,USD,Equity
PFE,Healthcare,NYSE,USD,Equity
JNJ,Healthcare,NYSE,USD,Equity
